id,user_id,vehicle_model_id,travel_type_id,from_area_id,to_area_id,date_travel,online_booking,mobile_site_booking,booking_created,from_lat,from_long,to_lat,to_long,Car_Cancellation
149748,26873,12,2,1095,1061,5/18/2013 7:30,1,0,5/17/2013 21:31,12.92415,77.67229,12.924878,77.566255,1
183456,33100,12,2,1226,1259,11/07/13 15:45,1,0,11/07/13 7:44,13.01508,77.67796,12.911942,77.651582,1
176071,41879,12,2,571,625,9/28/2013 17:30,1,0,9/28/2013 15:50,12.95185,77.69642,12.95431,77.6553,1
182410,41512,12,2,1070,934,11/25/2013 17:00,0,0,10/31/2013 12:13,12.926098,77.681121,12.92323,77.59203,1
183998,47731,12,2,142,393,11/11/13 5:00,1,0,11/10/13 21:50,12.91281,77.60923,13.19956,77.70688,1
174132,42932,12,2,197,1155,9/17/2013 20:00,1,0,9/17/2013 16:40,12.9119,77.54682,12.90245,77.66081,1
182089,41644,12,2,611,1026,11/29/2013 17:45,0,0,10/31/2013 9:44,12.99254,77.5948,13.10482,77.57631,1
147717,30102,12,2,1282,1223,05/06/13 7:45,1,0,05/05/13 21:38,12.959687,77.747099,13.012419,77.555151,1
149321,30958,12,2,186,393,5/16/2013 3:00,1,0,5/15/2013 9:36,12.80257,77.70453,13.19956,77.70688,1
152881,32860,12,2,357,1021,06/03/13 8:45,1,0,06/03/13 6:51,13.03064,77.6491,13.02853,77.54625,1
182202,27458,12,2,1285,61,11/21/2013 17:00,0,0,10/31/2013 10:20,12.993032,77.661494,12.96298,77.71229,1
180110,45742,12,3,1036,NULL,10/21/2013 8:15,0,0,10/20/2013 14:45,12.925568,77.580568,NULL,NULL,1
182686,46937,12,2,458,1165,11/01/13 16:00,1,0,11/01/13 10:27,13.00037,77.72746,12.990947,77.687112,1
182103,41644,12,2,1026,611,11/26/2013 8:15,0,0,10/31/2013 9:45,13.10482,77.57631,12.99254,77.5948,1
179296,45380,12,2,396,1371,10/16/2013 5:00,1,0,10/15/2013 20:03,12.92073,77.66482,13.000418,77.674835,1
182386,41512,12,2,934,1070,11/18/2013 11:30,0,0,10/31/2013 12:11,12.92323,77.59203,12.926098,77.681121,1
144515,29685,12,2,1150,1283,4/13/2013 23:00,0,0,4/13/2013 12:42,12.99287,77.71662,12.973535,77.750528,1
152220,32476,12,2,58,271,06/01/13 0:00,0,1,5/31/2013 19:24,12.88963,77.60119,12.95641,77.64076,1
149043,30807,12,2,136,1384,5/13/2013 18:00,0,0,5/13/2013 11:42,12.90796,77.62418,13.02853,77.54625,1
149766,13862,12,2,1063,585,5/18/2013 9:30,0,0,5/18/2013 0:10,12.934477,77.611284,12.97677,77.5727,1
184534,39373,12,2,1288,1192,11/14/2013 20:00,1,0,11/14/2013 12:25,12.953622,77.51622,12.97677,77.5727,1
166039,39018,12,2,1010,1096,08/10/13 23:00,1,0,08/10/13 14:27,12.96691,77.74935,12.96519,77.71932,1
139657,25885,12,2,1378,1371,03/01/13 21:45,0,0,03/01/13 9:49,12.827912,77.679642,13.000418,77.674835,1
149001,30787,12,2,1152,1384,5/13/2013 18:15,0,0,5/13/2013 8:59,12.87153,77.60206,13.02853,77.54625,1
185575,48527,12,2,264,1371,11/22/2013 7:30,1,0,11/22/2013 0:28,12.90721,77.69544,13.000418,77.674835,1
147708,25330,12,2,776,168,05/06/13 5:00,0,0,05/05/13 20:15,13.01508,77.67796,12.99313,77.59828,1
183427,47426,12,2,393,1353,11/07/13 10:30,1,0,11/06/13 22:17,13.19956,77.70688,12.966545,77.711639,1
178996,7528,89,3,271,NULL,10/14/2013 3:30,1,0,10/13/2013 23:40,12.95641,77.64076,NULL,NULL,1
178896,42890,12,2,168,1142,10/13/2013 20:00,0,1,10/13/2013 14:39,12.99313,77.59828,13.03369,77.62821,1
152845,32841,12,2,968,168,06/02/13 22:45,1,0,06/02/13 21:11,12.96555,77.61912,12.99313,77.59828,1
178171,29648,12,3,150,NULL,10/10/13 8:00,0,0,10/09/13 23:04,12.89724,77.61065,NULL,NULL,1
176430,43924,12,2,1120,570,10/12/13 5:30,0,0,9/30/2013 10:29,12.89724,77.61065,12.94832,77.5882,1
184478,47948,12,2,217,238,11/14/2013 10:00,0,1,11/13/2013 22:44,13.0011,77.6235,12.93711,77.60171,1
148798,30675,12,3,466,NULL,05/12/13 14:00,0,1,05/12/13 8:39,13.017436,77.64458,NULL,NULL,1
182574,44384,12,2,1032,393,11/01/13 5:15,1,0,10/31/2013 19:08,12.913301,77.685592,13.19956,77.70688,1
180976,46179,12,3,413,NULL,10/26/2013 3:00,0,0,10/25/2013 14:11,12.92171,77.59017,NULL,NULL,1
146575,29504,12,2,396,452,4/28/2013 20:45,1,0,4/28/2013 18:17,12.92073,77.66482,12.95278,77.59088,1
154420,33659,12,3,968,NULL,06/11/13 8:45,0,0,06/11/13 8:14,12.96555,77.61912,NULL,NULL,1
157692,35258,12,2,271,1384,6/30/2013 18:00,1,0,6/30/2013 16:15,12.95641,77.64076,13.02853,77.54625,1
174440,43130,12,2,478,585,9/19/2013 20:15,1,0,9/19/2013 16:21,12.9221,77.55263,12.97677,77.5727,1
180756,867,12,2,1320,572,10/24/2013 18:45,1,0,10/24/2013 10:46,12.840674,77.65966,12.91873,77.61494,1
182676,46933,12,2,393,1257,11/04/13 23:15,1,0,11/01/13 9:40,13.19956,77.70688,12.934477,77.611284,1
144396,18107,12,2,83,1102,04/12/13 22:00,1,0,04/12/13 17:41,12.92415,77.67229,12.93652,77.54481,1
181399,46412,89,2,1193,585,11/07/13 20:30,1,0,10/27/2013 20:07,13.00446,77.56923,12.97677,77.5727,1
152267,32504,12,2,571,393,06/01/13 4:30,1,0,5/31/2013 22:16,12.95185,77.69642,13.19956,77.70688,1
